KR;11;Seoul Teugbyeolsi [Seoul-T'ukpyolshi];Capital Metropolitan City
KR;26;Busan Gwang'yeogsi [Pusan-Kwangyokshi];Metropolitan city
KR;27;Daegu Gwang'yeogsi [Taegu-Kwangyokshi];Metropolitan city
KR;28;Incheon Gwang'yeogsi [Inch'on-Kwangyokshi];Metropolitan city
KR;29;Gwangju Gwang'yeogsi [Kwangju-Kwangyokshi];Metropolitan city
KR;30;Daejeon Gwang'yeogsi [Taejon-Kwangyokshi];Metropolitan city
KR;31;Ulsan Gwang'yeogsi [Ulsan-Kwangyokshi];Metropolitan city
KR;41;Gyeonggido [Kyonggi-do];Province
KR;42;Gang'weondo [Kang-won-do];Province
KR;43;Chungcheongbugdo [Ch'ungch'ongbuk-do];Province
KR;44;Chungcheongnamdo [Ch'ungch'ongnam-do];Province
KR;45;Jeonrabugdo [Chollabuk-do];Province
KR;46;Jeonranamdo [Chollanam-do];Province
KR;47;Gyeongsangbugdo [Kyongsangbuk-do];Province
KR;48;Gyeongsangnamdo [Kyongsangnam-do];Province
KR;49;Jejudo [Cheju-do];Province
