LV;AI;Aizkraukles Aprinkis;District
LV;AL;Alukones Aprinkis;District
LV;BL;Balvu Aprinkis;District
LV;BU;Bauskas Aprinkis;District
LV;CE;Cesu Aprinkis;District
LV;DA;Daugavpils Aprinkis;District
LV;DO;Dobeles Aprinkis;District
LV;DW;Daugavpils;City
LV;GU;Gulbenes Aprinkis;District
LV;JEL;Jelgava;City
LV;JK;Jekabpils Aprinkis;District
LV;JL;Jelgavas Aprinkis;District
LV;JUR;Jurmala;City
LV;KR;Kraslavas Aprinkis;District
LV;KU;Kuldigas Aprinkis;District
LV;LE;Liepdjas Aprinkis;District
LV;LM;Limbažu Aprinkis;District
LV;LPX;Liepdja;City
LV;LU;Ludzas Aprinkis;District
LV;MA;Madonas Aprinkis;District
LV;OG;Ogres Aprinkis;District
LV;PR;Preilu Aprinkis;District
LV;RE;Rezeknes Aprinkis;District
LV;REZ;Rezekne;City
LV;RI;Rigas Aprinkis;District
LV;RIX;Riga;City
LV;SA;Saldus Aprinkis;District
LV;TA;Talsu Aprinkis;District
LV;TU;Tukuma Aprinkis;District
LV;VE;Ventspils Aprinkis;District
LV;VEN;Ventspils;City
LV;VK;Valkas Aprinkis;District
LV;VM;Valmieras Aprinkis;District
