JP;01;Hokkaido;Prefecture
JP;02;Aomori;Prefecture
JP;03;Iwate;Prefecture
JP;04;Miyagi;Prefecture
JP;05;Akita;Prefecture
JP;06;Yamagata;Prefecture
JP;07;Hukusima [Fukushima];Prefecture
JP;08;Ibaraki;Prefecture
JP;09;Totigi [Tochigi];Prefecture
JP;10;Gunma;Prefecture
JP;11;Saitama;Prefecture
JP;12;Tiba [Chiba];Prefecture
JP;13;Tokyo;Prefecture
JP;14;Kanagawa;Prefecture
JP;15;Niigata;Prefecture
JP;16;Toyama;Prefecture
JP;17;Isikawa [Ishikawa];Prefecture
JP;18;Hukui [Fukui];Prefecture
JP;19;Yamanasi [Yamanashi];Prefecture
JP;20;Nagano;Prefecture
JP;21;Gihu [Gifu];Prefecture
JP;22;Sizuoka [Shizuoka];Prefecture
JP;23;Aiti [Aichi];Prefecture
JP;24;Mie;Prefecture
JP;25;Siga [Shiga];Prefecture
JP;26;Kyoto;Prefecture
JP;27;Osaka;Prefecture
JP;28;Hyogo;Prefecture
JP;29;Nara;Prefecture
JP;30;Wakayama;Prefecture
JP;31;Tottori;Prefecture
JP;32;Simane [Shimane];Prefecture
JP;33;Okayama;Prefecture
JP;34;Hirosima [Hiroshima];Prefecture
JP;35;Yamaguti [Yamaguchi];Prefecture
JP;36;Tokusima [Tokushima];Prefecture
JP;37;Kagawa;Prefecture
JP;38;Ehime;Prefecture
JP;39;Koti [Kochi];Prefecture
JP;40;Hukuoka [Fukuoka];Prefecture
JP;41;Saga;Prefecture
JP;42;Nagasaki;Prefecture
JP;43;Kumamoto;Prefecture
JP;44;Oita;Prefecture
JP;45;Miyazaki;Prefecture
JP;46;Kagosima [Kagoshima];Prefecture
JP;47;Okinawa;Prefecture
