RU;;.RUSSIAN FEDERATION;;;;;;;;
RU;ABA;Abakan;Abakan;;--3-----;RL;0401;;5342N 09125E;
RU;ACS;Achinsk;Achinsk;;---4----;AI;0001;;;
RU;AER;Adler/Sochi;Adler/Sochi;;---4----;AI;9601;;;
RU;AGI;Aginskoye;Aginskoye;;--3-----;;0212;;;
RU;AHR;Akhtari;Akhtari;;0-------;RQ;9811;;;
RU;ABS;Akhtubinsk;Akhtubinsk;;0-------;RL;0003;;;
RU;ADH;Aldan;Aldan;;---4----;AI;0001;;;
RU;ALV;Aleksandrov;Aleksandrov;;-23-----;RL;0601;;5624N 03844E;
RU;AAD;Aleksandrov (Alexandrov);Aleksandrov (Alexandrov);;--3-----;RQ;0607;;5623N 03837E;
RU;SAK;Aleksandrovsk-Sakhalinskiy;Aleksandrovsk-Sakhalinskiy;;1-3-----;RL;0601;;5054N 14209E;
RU;ALE;Aleysk;Aleysk;;-23-----;RL;0701;;5229N 08246E;
RU;ATK;Almetyevsk;Almetyevsk;;--3-----;RQ;9806;;;
RU;AMB;Ambetsu;Ambetsu;;0-------;RQ;9811;;;
RU;AMV;Amderma;Amderma;;---4----;AI;0001;;;
RU;DYR;Anadyr;Anadyr;;1--4----;AI;9601;;;
RU;AAQ;Anapa;Anapa;;---4----;AI;9811;;;
RU;ARH;Arkhangelsk;Arkhangelsk;;1--4----;AI;9601;;;
RU;AHK;Arkhangel'skoye;Arkhangel'skoye;;--3-----;RL;0701;;4436N 04406E;
RU;ARM;Arman (Magadan);Arman (Magadan);;1-------;QQ;8012;;;
RU;AVR;Armavir;Armavir;;--3-----;RL;0701;;4458N 04108E;
RU;ASB;Asbest;Asbest;;-23-----;RL;0601;;5701N 06128E;
RU;ASF;Astrakhan;Astrakhan;;1--4----;AI;9601;;;
RU;AZO;Azov;Azov;;1-------;QQ;9207;;;
RU;BGR;Bagrationovsk;Bagrationovsk;;-2------;QQ;9207;;;
RU;BAK;Baksan;Baksan;;--3-----;RQ;0607;;4342N 04331E;
RU;BKV;Balakirevo;Balakirevo;;--3-----;RL;0601;;5630N 03850E;
