AR;B;Buenos Aires;Province
AR;C;Distrito Federal;Federal district
AR;D;San Luis;Province
AR;E;Entre Ríos;Province
AR;F;La Rioja;Province
AR;G;Santiago del Estero;Province
AR;H;Chaco;Province
AR;J;San Juan;Province
AR;K;Catamarca;Province
AR;L;La Pampa;Province
AR;M;Mendoza;Province
AR;N;Misiones;Province
AR;P;Formosa;Province
AR;Q;Neuquén;Province
AR;R;Río Negro;Province
AR;S;Santa Fe;Province
AR;T;Tucumán;Province
AR;U;Chubut;Province
AR;V;Tierra del Fuego;Province
AR;W;Corrientes;Province
AR;X;Córdoba;Province
AR;Y;Jujuy;Province
AR;Z;Santa Cruz;Province
