AN;;.NETHERLANDS ANTILLES;;;;;;;;
AN;BON;Bonaire;Bonaire;;---4----;AI;9601;;;
AN;BUB;Bullenbaai;Bullenbaai;;1-------;RL;0212;;1210N 06900W;
AN;BUS;Bushiribana;Bushiribana;;1----6--;RQ;0701;;1233N 06958W;
AN;CRB;Caracas Baai; Curaçao;Caracas Baai; Curacao;;1-------;AI;0212;;1204N 06851W;
AN;CUR;Curaçao;Curacao;;1--4----;AI;0212;;1210N 06900W;
AN;RIN;Dorp Rincón; Bonaire;Dorp Rincon; Bonaire;;--3-----;RL;0212;;1214N 06820W;
AN;EMM;Emmastad;Emmastad;;--3-----;RL;0103;;;
AN;FUI;Fuikbaai; Curaçao;Fuikbaai; Curacao;;1-------;AI;9401;;;
AN;GES;Gallis Bay; St.Marten;Gallis Bay; St.Marten;;1-3-----;RL;0201;;1801N 06304W;
AN;KRA;Kralendijk; Bonaire;Kralendijk; Bonaire;;1---5---;AI;9401;;;
AN;OTB;Otrobanda;Otrobanda;;----5---;RL;0201;;1208N 06857W;
AN;PHI;Philipsburg;Philipsburg;;1-3-----;RL;0401;;1801N 06302W;
AN;PUN;Punda;Punda;;----5---;RL;0201;;1255N 06855W;
AN;SAB;Saba;Saba;;---4----;AI;0212;;1738N 06314W;
AN;STR;Santa Rosa; Curacao;Santa Rosa; Curacao;;----5---;AI;0101;;;
AN;EUX;Sint Eustatius;Sint Eustatius;;---45---;AI;0212;;1730N 06258W;
AN;SMB;Sint Michielsbaai;Sint Michielsbaai;;1-------;RL;0212;;1209N 06859W;
AN;SXM;Sint-Maarten Apt;Sint-Maarten Apt;;---45---;AI;0401;;1803N 06307W;
AN;BOT;The Bottom;The Bottom;;----5---;AI;0010;;1738N 06314W;
AN;WIL;Willemstad; Curaçao;Willemstad; Curacao;;1---5---;AI;9401;;;
