PT;01;Aveiro;District
PT;02;Beja;District
PT;03;Braga;District
PT;04;Bragança;District
PT;05;Castelo Branco;District
PT;06;Coimbra;District
PT;07;Évora;District
PT;08;Faro;District
PT;09;Guarda;District
PT;10;Leiria;District
PT;11;Lisboa;District
PT;12;Portalegre;District
PT;13;Porto;District
PT;14;Santarém;District
PT;15;Setúbal;District
PT;16;Viana do Castelo;District
PT;17;Vila Real;District
PT;18;Viseu;District
PT;20;Região Autónoma dos Açores;Autonomous region
PT;30;Região Autónoma da Madeira;Autonomous region
