PF;;.FRENCH POLYNESIA;;;;;;;;
PF;AHE;Ahe;Ahe;;---4----;AI;0001;;;
PF;AHU;Ahurei;Ahurei;;1-------;RL;9811;;;
PF;AAA;Anaa;Anaa;;---4----;AI;9601;;;
PF;APK;Apataki;Apataki;;---4----;AI;9601;;;
PF;AXR;Arutua;Arutua;;---4----;AI;0001;;;
PF;PKP;Atoll Pukapuka;Atoll Pukapuka;;---4----;AI;0212;;1449S 13848W;
PF;AUQ;Atuona;Atuona;;---4----;AI;9601;;;
PF;BOB;Bora-Bora;Bora-Bora;;1--4----;AI;0212;;1630S 15145W;
PF;FAA;Faaa; Tahiti;Faaa; Tahiti;;----5---;AI;9710;;;
PF;FAC;Faaite;Faaite;;---4----;AI;0001;;;
PF;FHZ;Fakahina;Fakahina;;---4----;AI;0001;;;
PF;FAV;Fakarava;Fakarava;;---4----;AI;9601;;;
PF;FGU;Fangatau;Fangatau;;---4----;AI;0001;;;
PF;HOI;Hao Is;Hao Is;;---4----;QQ;8103;;;
PF;HHZ;Hikueru;Hikueru;;---4----;AI;0001;;;
PF;HIX;Hiva Oa;Hiva Oa;;---4----;AI;0001;;;
PF;HUH;Huahine;Huahine;;---4----;QQ;8103;;;
PF;GMR;Iles Gambier;Iles Gambier;;---4----;AI;0212;;2309S 13458W;
PF;KKR;Kaukura;Kaukura;;---4----;QQ;8103;;;
PF;MKP;Makemo;Makemo;;---4----;AI;9601;;;
PF;XMH;Manihi;Manihi;;---4----;AI;9601;;;
PF;MEE;Maroe;Maroe;;--3-----;RL;0207;;1645S 15059W;
PF;MVT;Mataiva;Mataiva;;---4----;AI;9601;;;
PF;MAU;Maupiti;Maupiti;;---4----;AI;9601;;;
PF;MOZ;Moorea;Moorea;;---4----;AI;9601;;;
PF;NAU;Napuka Island;Napuka Island;;---4----;AI;0001;;;
PF;NHV;Nuku Hiva;Nuku Hiva;;---4----;AI;9601;;;
PF;NUK;Nukutavake;Nukutavake;;---4----;AI;0001;;;
PF;PPT;Papeete;Papeete;;1--45---;AI;9601;;;
PF;PUK;Pukarua;Pukarua;;---4----;AI;0001;;;
PF;RFP;Raiatea;Raiatea;;---4----;AI;9601;;;
PF;RGI;Rangiroa;Rangiroa;;---4----;AI;9601;;;
PF;REA;Reao;Reao;;---4----;AI;0001;;;
PF;RUR;Rurutu;Rurutu;;---4----;AI;9601;;;
PF;TAI;Taiohae;Taiohae;;1-------;RQ;9506;;;
PF;TKP;Takapoto;Takapoto;;---4----;AI;9601;;;
PF;TKX;Takaroa;Takaroa;;---4----;AI;0001;;;
PF;TJN;Takume;Takume;;---4----;AI;0001;;;
PF;TKV;Tatakoto;Tatakoto;;---4----;AI;0001;;;
PF;TTI;Tetiaroa Is;Tetiaroa Is;;---4----;AI;0001;;;
PF;TIH;Tikehau;Tikehau;;---4----;AI;9601;;;
PF;TUB;Tubuai;Tubuai;;---4----;AI;9601;;;
PF;ZTA;Tureia;Tureia;;---4----;AI;0212;;2050S 13832W;
PF;UAH;Ua Huka;Ua Huka;;---4----;AI;9601;;;
PF;UAP;Ua Pou;Ua Pou;;---4----;AI;9601;;;
PF;UTU;Uturoa;Uturoa;;1-------;RQ;9506;;;
PF;VHZ;Vahitahi;Vahitahi;;---4----;AI;0001;;;
PF;VAI;Vaitape;Vaitape;;1-------;RQ;9506;;;
