SY;;.SYRIAN ARAB REPUBLIC;;;;;;;;
SY;ALD;Al Ladhiqiyah;Al Ladhiqiyah;;123-----;RL;0601;;3531N 03547E;
SY;SOR;Al Thaurah;Al Thaurah;;---4----;AI;0001;;;
SY;ALP;Aleppo (Alep);Aleppo (Alep);;---45---;AI;9601;;;
SY;ARW;Arwad;Arwad;;1-------;AI;0201;;3551N 03351E;
SY;BEN;Banghazi;Banghazi;;1-3-----;RL;0607;;3207N 02004E;
SY;BAN;Baniyas;Baniyas;;1-------;QQ;8103;;;
SY;DAM;Damascus (Damas);Damascus (Damas);;1--45---;AI;9601;;;
SY;DEZ;Deirezzor;Deirezzor;;---4----;AI;9601;;;
SY;QDR;Dera'a;Dera'a;;---45---;AI;9805;;;
SY;QHM;Hama;Hama;;0-------;RQ;9506;;;
SY;HMS;Homs;Homs;;-23-----;RL;0307;QHS;3444N 03643E;
SY;KAC;Kameshli;Kameshli;;---4----;AI;9601;;;
SY;LTK;Latakia;Latakia;;1--4----;AI;9601;;;
SY;PMS;Palmyra;Palmyra;;---4----;AI;0001;;;
SY;RAD;Rouâd;Rouad;;1-3-----;RL;0401;;3451N 03551E;
SY;RUI;Ruad Island;Ruad Island;;0-------;RQ;9506;;;
SY;QSW;Sweida;Sweida;;---4----;AI;0001;;;
SY;TTS;Tartus;Tartus;;1-------;RL;0212;;3453N 03553E;
SY;WST;Wasit;Wasit;;0-------;RQ;9012;;;
