IN;AN;Andaman and Nicobar Islands;Union territory
IN;AP;Andhra Pradesh;State
IN;AR;Arunachal Pradesh;State
IN;AS;Assam;State
IN;BR;Bihar;State
IN;CH;Chandigarh;Union territory
IN;CT;Chhattisgarh;State
IN;DD;Daman and Diu;Union territory
IN;DL;Delhi;Union territory
IN;DN;Dadra and Nagar Haveli;Union territory
IN;GA;Goa;State
IN;GJ;Gujarat;State
IN;HP;Himachal Pradesh;State
IN;HR;Haryana;State
IN;JH;Jharkhand;State
IN;JK;Jammu and Kashmir;State
IN;KA;Karnataka;State
IN;KL;Kerala;State
IN;LD;Lakshadweep;Union territory
IN;MH;Maharashtra;State
IN;ML;Meghalaya;State
IN;MN;Manipur;State
IN;MP;Madhya Pradesh;State
IN;MZ;Mizoram;State
IN;NL;Nagaland;State
IN;OR;Orissa;State
IN;PB;Punjab;State
IN;PY;Pondicherry;Union territory
IN;RJ;Rajasthan;State
IN;SK;Sikkim;State
IN;TN;Tamil Nadu;State
IN;TR;Tripura;State
IN;UL;Uttaranchal;State
IN;UP;Uttar Pradesh;State
IN;WB;West Bengal;State
