CO;;.COLOMBIA;;;;;;;;
CO;AGD;Agrado;Agrado;;--3-----;RQ;0607;;0215N 07556W;
CO;AND;Andalucia;Andalucia;;--3-----;RQ;0607;;0513N 07407W;
CO;APO;Apartado;Apartado;;---4----;AI;9601;;;
CO;AUC;Arauca;Arauca;;---4----;AI;9601;;;
CO;ACM;Arica;Arica;;1-3-----;RL;0601;;0207S 07144W;
CO;AXM;Armenia;Armenia;;---4----;AI;9601;;;
CO;ASR;Astrea;Astrea;;--3-----;RQ;0607;;0930N 07358W;
CO;AYA;Ayapel;Ayapel;;--3-----;RQ;0607;;0819N 07508W;
CO;EJA;Barrancabermeja;Barrancabermeja;;1--4----;AI;9601;;;
CO;BAQ;Barranquilla;Barranquilla;;1--45---;AI;9601;;;
CO;BET;Betania;Betania;;--3-----;RQ;0607;;0545N 07559W;
CO;BOG;Bogotá;Bogota;;-2345---;AI;0307;;0436N 07405W;
CO;BGA;Bucaramanga;Bucaramanga;;---4----;AI;9601;;;
CO;BUN;Buenaventura;Buenaventura;;1--4----;AI;9601;;;
CO;BUG;Buga;Buga;;--3-----;RQ;0607;;0211N 07753W;
CO;CAP;Cachipay;Cachipay;;--3-----;RQ;0607;;0500N 07232W;
CO;CLO;Cali;Cali;;---4----;AI;9601;;;
CO;CTG;Cartagena;Cartagena;;1--4----;AI;9601;;;
CO;CRC;Cartago;Cartago;;1--4----;AI;9601;;;
CO;IGO;Chigorodó;Chigorodo;;---4----;AI;0212;;0741N 07641W;
CO;CIE;Cienaga;Cienaga;;0-------;RQ;9601;;;
CO;CVE;Covenas;Covenas;;---4----;AI;9401;;;
CO;CUC;Cucuta;Cucuta;;---4----;AI;9601;;;
CO;DAB;Dabeiba;Dabeiba;;--3-----;RQ;0607;;0700N 07616W;
CO;DUR;Durania;Durania;;--3-----;RQ;0607;;1002N 07353W;
CO;EBG;El Bagre;El Bagre;;---4----;AI;9601;;;
CO;EBQ;El Bosque;El Bosque;;1-------;RL;0001;;;
CO;EES;El Espino;El Espino;;--3-----;RQ;0607;;0628N 07230W;
CO;FLA;Florencia;Florencia;;--34----;AI;0101;;;
CO;FUN;Fundacion;Fundacion;;--3-----;RQ;0607;;0401N 07427W;
CO;GAM;Gamarra;Gamarra;;--3-----;RQ;0607;;0820N 07344W;
CO;GAR;Garagoa;Garagoa;;--3-----;RQ;0607;;0505N 07322W;
CO;GAZ;Garzon;Garzon;;--3-----;RQ;0607;;0450N 07218W;
CO;GUA;Guaduas;Guaduas;;--3-----;RQ;0607;;0546N 07610W;
CO;GUP;Guapi;Guapi;;--3-----;RQ;0607;;0235N 07754W;
CO;LAD;La Dorada;La Dorada;;--3-----;RQ;0607;;0821N 07429W;
CO;LEJ;Lejanias;Lejanias;;--3-----;RQ;0607;;0331N 07401W;
CO;LET;Leticia;Leticia;;1--4----;AI;9601;;;
CO;MAC;Macedonia;Macedonia;;--3-----;RQ;0607;;0839N 07355W;
CO;MAM;Mamonal;Mamonal;;0-------;RQ;9506;;;
CO;MAU;Manaure;Manaure;;1-3-----;RL;0501;;1146N 07226W;
CO;MZL;Manizales;Manizales;;---4----;AI;9601;;;
CO;MAT;Matanza;Matanza;;--3-----;RQ;0607;;0743N 07445W;
CO;MDE;Medellín;Medellin;;---4----;AI;0212;;0617N 07532W;
CO;TUE;Moniquira;Moniquira;;--3-----;RQ;0607;;0553N 07335W;
