BS;;.BAHAMAS;;;;;;;;
BS;ASD;Andros Town; Andros Island;Andros Town; Andros Island;;1--4----;AI;9601;;;
BS;ATC;Arthur's Town; Cat Island;Arthur's Town; Cat Island;;--34----;AI;0507;;2438N 07542W;
BS;BIM;Bimini;Bimini;;---4----;AI;9601;;;
BS;BKC;Bock Cay;Bock Cay;;1-------;RL;0701;;2349N 07610W;
BS;CEL;Cape Eleuthera;Cape Eleuthera;;1--4----;AI;0212;;2449N 07621W;
BS;CXY;Cat Cays;Cat Cays;;---4----;AI;9912;;;
BS;CAT;Cat Island;Cat Island;;---4----;AI;9912;;;
BS;CCZ;Chub Cay; Berry Islands;Chub Cay; Berry Islands;;1--4----;AI;9601;;;
BS;CLP;Clifton Point;Clifton Point;;1-------;RQ;9506;;;
BS;COX;Congo Town;Congo Town;;1--4----;AI;0212;;2410N 07735W;
BS;CRI;Crooked Island;Crooked Island;;1--4----;AI;9401;;;
BS;LGI;Deadmans Cay;Deadmans Cay;;---4----;AI;0212;;2310N 07505W;
BS;DCT;Duncan Town;Duncan Town;;---4----;AI;9912;;;
BS;ELE;Eleuthera Island;Eleuthera Island;;1-------;RQ;9506;;;
BS;FPO;Freeport; Grand Bahama;Freeport; Grand Bahama;;1--4----;AI;9601;;;
BS;GGT;George Town; Great Exuma I.;George Town; Great Exuma I.;;1--4----;AI;9601;;;
BS;GOC;Gorda Cay;Gorda Cay;;1-------;RL;0507;;2605N 07732W;
BS;GHB;Governors Harbour; Eleuthera;Governors Harbour; Eleuthera;;1--4----;AI;9601;;;
BS;GBI;Grand Bahama;Grand Bahama;;---4----;AI;9912;;;
BS;EXU;Great Exuma Island;Great Exuma Island;;1-------;RL;0212;;2332N 07550W;
BS;GHC;Great Harbour Cay;Great Harbour Cay;;1--4----;AI;0212;;2545N 07750W;
BS;GTC;Green Turtle Cay;Green Turtle Cay;;1--4----;AI;0212;;2650N 07723W;
BS;HBI;Harbour Island;Harbour Island;;1--4----;AI;0212;;2530N 07638W;
BS;IGA;Inagua;Inagua;;1--4----;AI;9601;;;
BS;HMC;Little San Salvador;Little San Salvador;;1-------;RL;0607;;2435N 07555W;
BS;LGI;Long Island;Long Island;;---4----;AI;0212;;2310N 07505W;
BS;MHH;Marsh Harbour;Marsh Harbour;;1--4----;AI;0212;;2633N 07703W;
BS;MAT;Matthew Town;Matthew Town;;1-------;RQ;9506;;;
BS;MYG;Mayaguana Island;Mayaguana Island;;1--4----;AI;9601;;;
BS;NAS;Nassau;Nassau;;1--45---;AI;0212;;2505N 07721W;
BS;NET;New Bight;New Bight;;--34----;AI;0307;;2418N 07525W;
BS;NMC;Norman's Cay;Norman's Cay;;---4----;AI;9912;;;
BS;ELH;North Eleuthera;North Eleuthera;;---4----;AI;9601;;;
BS;OCE;Ocean Cay;Ocean Cay;;1-------;RQ;9506;;;
BS;PID;Paradise Island;Paradise Island;;---4----;AI;9912;;;
BS;PWN;Pitts Town;Pitts Town;;---4----;AI;9912;;;
BS;PPO;Powell Point;Powell Point;;---4----;AI;9912;;;
BS;RSD;Rock Sound;Rock Sound;;1--4----;AI;0212;;2454N 07612W;
BS;RCY;Rum Cay;Rum Cay;;---4----;AI;9912;;;
BS;SAQ;San Andros;San Andros;;1--4----;AI;0212;;2504N 07803W;
BS;ZSA;San Salvador Island;San Salvador Island;;1--4----;AI;9601;;;
BS;WZY;Seaplane Base;Seaplane Base;;---4----;AI;9912;;;
BS;TZN;South Andros;South Andros;;---4----;AI;9912;;;
BS;SRP;South Riding Point;South Riding Point;;1-------;RQ;9506;;;
BS;SWL;Spanish Wells;Spanish Wells;;---4----;RL;0212;;2533N 07645W;
BS;AXP;Spring Point;Spring Point;;---4----;AI;9912;;;
BS;TYM;Staniel Cay;Staniel Cay;;---4----;AI;9912;;;
BS;SML;Stella Maris;Stella Maris;;1--4----;AI;0212;;2336N 07518W;
BS;TBI;The Bight;The Bight;;1--4----;AI;0212;;2419N 07524W;
BS;TCB;Treasure Cay; Great Abaco I.;Treasure Cay; Great Abaco I.;;1--4----;AI;9601;;;
BS;WKR;Walker's Cay;Walker's Cay;;1--4----;AI;9601;;;
BS;WTD;West End;West End;;1--4----;AI;0212;;2641N 07858W;
