MY;;.MALAYSIA;;;;;;;;
MY;AOG;Alor Gajah;Alor Gajah;;-23-----;RL;0212;;0222N 10212E;
MY;AOR;Alor Setar;Alor Setar;;---4----;AI;9601;;;
MY;BKM;Ba Kelalan;Ba Kelalan;;--34----;AI;0212;;0359N 11537E;
MY;BAG;Bagan Datok;Bagan Datok;;1-------;QQ;8103;;;
MY;BWH;Bagan Luar (Butterworth);Bagan Luar (Butterworth);;1-34----;QQ;8103;;;
MY;BKP;Bakapit;Bakapit;;1-------;RQ;9506;;;
MY;BAL;Balakong;Balakong;;--3-----;RQ;0212;;0301N 10145E;
MY;BMA;Bandar Maharani;Bandar Maharani;;1-------;QQ;8103;;;
MY;BDV;Bandau; Sabah;Bandau; Sabah;;1-------;QQ;8103;;;
MY;BGU;Bangau;Bangau;;1-------;RL;0212;;0657N 11642E;
MY;BAI;Bangi;Bangi;;--3-----;RL;0307;;0254N 10147E;
MY;BAN;Banting;Banting;;--3-----;RL;0212;;0249N 10129E;
MY;BBN;Bario;Bario;;---4----;AI;9601;;;
MY;BBA;Batu Batu; Sabah;Batu Batu; Sabah;;1-------;QQ;8103;;;
MY;BCA;Batu Caves;Batu Caves;;--3-----;RL;0701;;0314N 10140E;
MY;BLI;Batu Lintang; Sarawak;Batu Lintang; Sarawak;;1-------;QQ;0212;;;
MY;BAT;Batu Pahat;Batu Pahat;;1-------;QQ;8103;;;
MY;BAU;Bau; Sarawak;Bau; Sarawak;;1-------;QQ;8103;;;
MY;BLE;Bayan Lepas;Bayan Lepas;;--3-----;RL;0212;;0517N 10015E;
MY;BLG;Belaga; Sarawak;Belaga; Sarawak;;1--4----;AI;9601;;;
MY;BEL;Beluran; Sabah;Beluran; Sabah;;1-------;QQ;8103;;;
MY;BEN;Bentong;Bentong;;--3-----;RL;0212;;0332N 10155E;
MY;BNT;Benut; Johor;Benut; Johor;;1-------;QQ;8103;;;
MY;BRN;Beranang;Beranang;;-23-----;RL;0212;;0253N 10152E;
MY;BTG;Betong; Sarawak;Betong; Sarawak;;1-------;QQ;8103;;;
MY;BIA;Biawak; Sarawak;Biawak; Sarawak;;1-------;QQ;8103;;;
MY;BNG;Binatang; Sarawak;Binatang; Sarawak;;1-------;QQ;8103;;;
MY;BTN;Bintangor;Bintangor;;1-------;RQ;9506;;;
MY;BTU;Bintulu; Sarawak;Bintulu; Sarawak;;1-------;AI;9601;;;
MY;BKR;Bukit Keteri;Bukit Keteri;;-23-----;RL;0212;;0632N 10015E;
MY;BRJ;Bukit Raja;Bukit Raja;;-23-----;RL;0212;;0306N 10126E;
MY;BGG;Bunan Gega; Sarawak;Bunan Gega; Sarawak;;1-------;QQ;8103;;;
MY;;Butterworth = Bagan Luar;Butterworth = Bagan Luar;;;;;;;
MY;DDW;Danjindawai;Danjindawai;;1-------;QQ;8103;;;
MY;DRO;Daro; Sarawak;Daro; Sarawak;;1-------;QQ;8103;;;
MY;DGN;Dungun (Kuala Dungun);Dungun (Kuala Dungun);;1-------;QQ;8103;;;
MY;END;Endau;Endau;;1-------;QQ;8103;;;
MY;GEB;Gebeng;Gebeng;;-23-----;RL;0212;;0358N 10325E;
MY;HUM;Hutan Melintang;Hutan Melintang;;1-------;RL;0212;;0353N 10056E;
MY;IPH;Ipoh;Ipoh;;---4----;AI;9601;;;
MY;JAM;Jambongan; Sabah;Jambongan; Sabah;;1-------;QQ;8103;;;
MY;JEP;Jelapang;Jelapang;;--3-----;RL;0212;;0438N 10103E;
MY;JTA;Jitra; Kedah;Jitra; Kedah;;--3-----;RQ;9912;;;
