BF;;.BURKINA FASO;;;;;;;;
BF;ABD;Aribinda;Aribinda;;---4----;AI;9912;XAR;;
BF;ARL;Arly;Arly;;---4----;AI;9912;;;
BF;BNR;Banfora;Banfora;;---4----;AI;9912;;;
BF;BER;Bérégadougou;Beregadougou;;-23-----;RL;0401;;1046N 00445W;
BF;BOY;Bobo-Dioulasso;Bobo-Dioulasso;;---4----;AI;0212;;1112N 00418W;
BF;BOG;Bogandé;Bogande;;---4----;AI;0212;XBG;1259N 00008W;
BF;BOU;Boulsa;Boulsa;;---4----;AI;9912;XBO;;
BF;DGU;Dédougou;Dedougou;;---4----;AI;0212;;1228N 00328W;
BF;DIP;Diapaga;Diapaga;;---4----;AI;9912;;;
BF;DBG;Diébougou;Diebougou;;---4----;AI;0212;XDE;1058N 00315W;
BF;DJI;Djibo;Djibo;;---4----;AI;9912;XDJ;;
BF;DOR;Dori;Dori;;---4----;AI;9912;;;
BF;FNG;Fada-Ngourma;Fada-Ngourma;;---4----;AI;0212;;1204N 00021E;
BF;GAO;Gaoua;Gaoua;;---4----;AI;9912;XGA;;
BF;GOG;Gorom-Gorom;Gorom-Gorom;;---4----;AI;9912;XGG;;
BF;KAN;Kantchari;Kantchari;;---4----;AI;9912;XKA;;
BF;KAY;Kaya;Kaya;;---4----;AI;9912;XKY;;
BF;KOS;Kossodo;Kossodo;;--3-----;RL;0607;;1225N 00128W;
BF;KOU;Koudougou;Koudougou;;-23-----;RL;0005;;1214N 00222W;
BF;KOR;Kourouma;Kourouma;;--3-----;RL;0212;;1137N 00448W;
BF;LEO;Léo;Leo;;---4----;AI;0212;XLU;1106N 00206W;
BF;NOU;Nouna;Nouna;;---4----;AI;9912;XNU;;
BF;OUA;Ouagadougou;Ouagadougou;;---45---;AI;9601;;;
BF;OUG;Ouahigouya;Ouahigouya;;---4----;AI;9912;;;
BF;PAM;Pama;Pama;;---4----;AI;9912;XPA;;
BF;PUP;Po;Po;;---4----;AI;9601;;;
BF;POU;Poura;Poura;;--3-----;RL;0401;;1039N 00305W;
BF;SAP;Saponé;Sapone;;--3-----;RL;0401;;1206N 00133W;
BF;SEB;Sebba;Sebba;;---4----;AI;9912;XSE;;
BF;TMQ;Tambao;Tambao;;---4----;AI;9912;;;
BF;TEG;Tenkodogo;Tenkodogo;;---4----;AI;9912;;;
BF;TUQ;Tougan;Tougan;;---4----;AI;9912;;;
BF;ZAB;Zabré;Zabre;;---4----;AI;0212;XZA;1110N 00038W;
BF;ZIG;Ziga;Ziga;;--3-----;RL;0307;;1237N 00049W;
