CN;11;Beijing;Municipality
CN;12;Tianjin;Municipality
CN;13;Hebei;Province
CN;14;Shanxi;Province
CN;15;Nei Mongol (mn);Autonomous Region
CN;21;Liaoning;Province
CN;22;Jilin;Province
CN;23;Heilongjiang;Province
CN;31;Shanghai;Municipality
CN;32;Jiangsu;Province
CN;33;Zhejiang;Province
CN;34;Anhui;Province
CN;35;Fujian;Province
CN;36;Jiangxi;Province
CN;37;Shandong;Province
CN;41;Henan;Province
CN;42;Hubei;Province
CN;43;Hunan;Province
CN;44;Guangdong;Province
CN;45;Guangxi;Autonomous Region
CN;46;Hainan;Province
CN;50;Chongqing;Municipality
CN;51;Sichuan;Province
CN;52;Guizhou;Province
CN;53;Yunnan;Province
CN;54;Xizang;Autonomous Region
CN;61;Shaanxi;Province
CN;62;Gansu;Province
CN;63;Qinghai;Province
CN;64;Ningxia;Autonomous Region
CN;65;Xinjiang;Autonomous Region
CN;71;Taiwan;Province
CN;91;Xianggang;Special Administrative Region
CN;92;Aomen;Special Administrative Region
