PH;;.PHILIPPINES;;;;;;;;
PH;ABU;Abulog/Aparri;Abulog/Aparri;;1-------;QQ;8103;;;
PH;ADL;Adlay/Bislig;Adlay/Bislig;;1-------;QQ;8103;;;
PH;AHE;Aheron/Ozamis;Aheron/Ozamis;;1-------;QQ;8103;;;
PH;AAV;Alah;Alah;;---4----;AI;0001;;;
PH;ALA;Alasang/Siain;Alasang/Siain;;1-------;QQ;8103;;;
PH;ALE;Aleran/Ozamis;Aleran/Ozamis;;1-------;QQ;8103;;;
PH;AMU;Amunitan/Aparri;Amunitan/Aparri;;1-------;QQ;8103;;;
PH;ANA;Anakan/Masao;Anakan/Masao;;1-------;QQ;8103;;;
PH;AGL;Angeles;Angeles;;-23-----;RQ;9704;;;
PH;APR;Aparri; Luzon;Aparri; Luzon;;1-------;QQ;8103;;;
PH;ARA;Aras Asan/Bislig;Aras Asan/Bislig;;1-------;QQ;8103;;;
PH;ATI;Atimonan/Siain;Atimonan/Siain;;1-------;QQ;8103;;;
PH;BAB;Babato/Dadiangas;Babato/Dadiangas;;1-------;QQ;8103;;;
PH;BCD;Bacolod; Negros;Bacolod; Negros;;1--4----;AI;9601;;;
PH;BCO;Bacon/Legaspi;Bacon/Legaspi;;1-------;QQ;8103;;;
PH;BCU;Baculin/Mati;Baculin/Mati;;1-------;QQ;8103;;;
PH;BGC;Bagac;Bagac;;1-------;RQ;8103;;;
PH;BNQ;Baganga/Mati;Baganga/Mati;;1--4----;AI;9601;;;
PH;BGI;Bagui Bay/San Fernando;Bagui Bay/San Fernando;;1-------;QQ;8103;;;
PH;BAG;Baguio;Baguio;;1--4----;AI;9601;;;
PH;BAI;Bais/Dumaguete;Bais/Dumaguete;;1-------;QQ;8103;;;
PH;BLC;Balabac; Palawan;Balabac; Palawan;;1-3-----;RL;0401;;0758N 11703E;
PH;BAL;Balaboe;Balaboe;;1-------;QQ;8103;;;
PH;BLA;Balanga/Batan;Balanga/Batan;;1-------;QQ;8103;;;
PH;BLN;Balengan/Siain;Balengan/Siain;;1-------;QQ;8103;;;
PH;BQA;Baler/Siain;Baler/Siain;;1--4----;AI;9601;;;
PH;BGS;Balingasag;Balingasag;;1-3-----;RL;0212;;0845N 12447E;
PH;BLT;Balintang/Puerto Princesa;Balintang/Puerto Princesa;;1-------;QQ;8103;;;
PH;BLG;Balogo/Batangas;Balogo/Batangas;;1-------;QQ;8103;;;
PH;BLU;Balumo/Zamboanga;Balumo/Zamboanga;;1-------;QQ;8103;;;
PH;BNW;Banawan/Dadiangas;Banawan/Dadiangas;;1-------;QQ;8103;;;
PH;BTY;Bantayon/San Jose;Bantayon/San Jose;;1-------;QQ;8103;;;
PH;BRB;Barobo/Bislig;Barobo/Bislig;;1-------;QQ;8103;;;
PH;BRT;Barton/Puerto Princesa;Barton/Puerto Princesa;;1-------;QQ;8103;;;
PH;BSO;Basco;Basco;;---4----;AI;9401;;;
PH;BSY;Basey/Catbalogan;Basey/Catbalogan;;1-------;QQ;8103;;;
PH;BAS;Basiauang/Dadiangas;Basiauang/Dadiangas;;1-------;RQ;8103;;;
PH;BTN;Bataan; Mariveles;Bataan; Mariveles;;1-------;QQ;8103;;;
PH;BTG;Batangas; Luzon;Batangas; Luzon;;1-------;QQ;8103;;;
PH;BTS;Batarasa/Puerto Princesa;Batarasa/Puerto Princesa;;1-------;QQ;8103;;;
PH;BAU;Bauan/Batangas;Bauan/Batangas;;1-------;QQ;8103;;;
PH;BNG;Bauang;Bauang;;123-----;RL;0407;;1631N 12019E;
PH;BYS;Bayabas/Bislig;Bayabas/Bislig;;1-------;QQ;8103;;;
PH;BYP;Bayang Point;Bayang Point;;1-------;QQ;8103;;;
PH;BYW;Bayawan/Dumaguete;Bayawan/Dumaguete;;1-------;QQ;8103;;;
PH;BYB;Baybay/Tacloban;Baybay/Tacloban;;1-------;QQ;8103;;;
PH;BPH;Bislig; Mindanao;Bislig; Mindanao;;1--4----;AI;9601;;;
PH;BIY;Biyawa/Davao;Biyawa/Davao;;1-------;QQ;8103;;;
PH;BOA;Boac; Marinduque;Boac; Marinduque;;1-------;QQ;8103;;;
PH;BOG;Bogo;Bogo;;1-3-----;RL;0212;;1103N 12400E;
PH;BLP;Bolos Point/Aparri;Bolos Point/Aparri;;1-------;QQ;8103;;;
PH;BGV;Borongan;Borongan;;1-------;RQ;9506;;;
PH;BOS;Boston/Davao;Boston/Davao;;1-------;QQ;8103;;;
PH;BRP;Brookes Point; Palawan;Brookes Point; Palawan;;1-3-----;RL;0401;;0846N 11750E;
PH;BGR;Bucar Grande/Suriagao;Bucar Grande/Suriagao;;1-------;QQ;8103;;;
PH;BUD;Budbud/Davao;Budbud/Davao;;1-------;QQ;8103;;;
PH;BUG;Bugo;Bugo;;1-------;QQ;8103;;;
PH;BUL;Bulan; Luzon;Bulan; Luzon;;1-------;QQ;8103;;;
PH;BUR;Burdeos; Polillo Isl;Burdeos; Polillo Isl;;1-3-----;RL;0401;;1450N 12158E;
PH;USU;Busuanga;Busuanga;;---4----;AI;0001;;;
PH;BXU;Butuan Bay/Masao;Butuan Bay/Masao;;1--4----;AI;9601;;;
PH;CAB;Cabugao Bay/Legaspi;Cabugao Bay/Legaspi;;1-------;QQ;8103;;;
PH;CAZ;Cadiz;Cadiz;;1-------;RL;9811;;;
PH;CGY;Cagayan de Oro; Mindanao;Cagayan de Oro; Mindanao;;1--4----;AI;9601;;;
PH;CDY;Cagayan De Sulu;Cagayan De Sulu;;---4----;AI;0001;;;
PH;CAJ;Cajidiocan; Visayan Isl;Cajidiocan; Visayan Isl;;1-3-----;RL;0401;;1222N 12241E;
PH;CAA;Calaca;Calaca;;--3-----;RL;0006;;;
PH;CCG;Calag-Calag/Dumaguete;Calag-Calag/Dumaguete;;1-------;QQ;8103;;;
PH;CGT;Calaguitan/Tacloban;Calaguitan/Tacloban;;1-------;QQ;8103;;;
PH;CAL;Calamba;Calamba;;--3-----;RL;0006;;;
PH;CLP;Calapan/Batangas;Calapan/Batangas;;1-------;QQ;8103;;;
PH;CYP;Calbayog Apt; Samar;Calbayog Apt; Samar;;---4----;AI;0401;;1205N 12433E;
PH;CBY;Calbayog; Samar;Calbayog; Samar;;1-3-----;RL;0401;;1204N 12436E;
PH;CDB;Caldera Bay/Zamboanga;Caldera Bay/Zamboanga;;1-------;QQ;8103;;;
PH;CWY;Calowayan/Catabalogan;Calowayan/Catabalogan;;1-------;QQ;8103;;;
PH;CUG;Calubian; Leyte;Calubian; Leyte;;1-3-----;RL;0401;;1126N 12425E;
PH;CGP;Calug Point/Zamboanga;Calug Point/Zamboanga;;1-------;QQ;8103;;;
PH;CML;Camalagawan/Aparri;Camalagawan/Aparri;;1-------;QQ;8103;;;
PH;CAM;Camarines Norte/Jose Panganiban;Camarines Norte/Jose Panganiban;;1-------;RQ;8103;;;
PH;CGM;Camiguin Island/Aparri;Camiguin Island/Aparri;;1--4----;AI;9601;;;
PH;CNY;Canaybon/Catbalogan;Canaybon/Catbalogan;;1-------;QQ;8103;;;
PH;CLB;Canlubang;Canlubang;;-23-----;RL;0601;;1413N 12106E;
PH;CNT;Cantilan/Surigao;Cantilan/Surigao;;1-------;QQ;8103;;;
PH;CPL;Capalonga/Siain;Capalonga/Siain;;1-------;QQ;8103;;;
PH;CRG;Caraga/Mati;Caraga/Mati;;1-------;QQ;8103;;;
PH;CGG;Casiguran/Siain;Casiguran/Siain;;1--4----;AI;9601;;;
PH;CST;Castañas;Castanas;;1-3-----;RL;0212;;1353N 12133E;
PH;CSB;Casul Bay/Ozamis;Casul Bay/Ozamis;;1-------;QQ;8103;;;
