SE;AB;Stockholms län;Province
SE;AC;Västerbottens län;Province
SE;BD;Norrbottens län;Province
SE;C;Uppsala län;Province
SE;D;Södermanlands län;Province
SE;E;Östergötlands län;Province
SE;F;Jönköpings län;Province
SE;G;Kronoborgs län;Province
SE;H;Kalmar län;Province
SE;I;Gotlands län;Province
SE;K;Blekinge län;Province
SE;M;Skåne län;Province
SE;N;Hallands län;Province
SE;O;Västra Götalands län;Province
SE;S;Värmlands län;Province
SE;T;Örebro län;Province
SE;U;Västmanlands län;Province
SE;W;Dalarnes län;Province
SE;X;Gävleborgs län;Province
SE;Y;Västernorrlands län;Province
SE;Z;Jämtlands län;Province
