KI;;.KIRIBATI;;;;;;;;
KI;ABF;Abaiang;Abaiang;;---4----;AI;0001;;;
KI;AEA;Abemama;Abemama;;---4----;AI;9601;;;
KI;AAK;Aranuka;Aranuka;;---4----;AI;0001;;;
KI;AIS;Arorae Island;Arorae Island;;---4----;AI;9601;;;
KI;BEZ;Beru;Beru;;---4----;AI;9601;;;
KI;BBG;Butaritari;Butaritari;;---4----;AI;9601;;;
KI;CIS;Canton Island;Canton Island;;---4----;AI;0001;;;
KI;CXI;Christmas Island;Christmas Island;;---4----;AI;9506;;;
KI;FIS;Fanning Islands;Fanning Islands;;1-------;QQ;8103;;;
KI;KUC;Kuria;Kuria;;---4----;AI;0001;;;
KI;MNK;Maiana;Maiana;;---4----;AI;9601;;;
KI;MTK;Makin Island;Makin Island;;---4----;AI;9601;;;
KI;MZK;Marakei;Marakei;;---4----;AI;9601;;;
KI;NIG;Nikunau;Nikunau;;---4----;AI;9601;;;
KI;NON;Nonouti;Nonouti;;---4----;AI;9601;;;
KI;OOT;Onotoa;Onotoa;;---4----;AI;9601;;;
KI;PHO;Phoenix Islands;Phoenix Islands;;1-------;QQ;8103;;;
KI;TBF;Tabiteuea North;Tabiteuea North;;---4----;AI;9601;;;
KI;TSU;Tabiteuea South;Tabiteuea South;;---4----;AI;0001;;;
KI;TNV;Tabuaeran;Tabuaeran;;---4----;AI;0001;;;
KI;TMN;Tamana Island;Tamana Island;;---4----;AI;9601;;;
KI;TRW;Tarawa;Tarawa;;1--4----;AI;9601;;;
KI;TNQ;Teraina;Teraina;;---4----;AI;0001;;;
KI;WNI;Washington Islands;Washington Islands;;1-------;QQ;8103;;;
