GY;;.GUYANA;;;;;;;;
GY;AHL;Aishalton;Aishalton;;---4----;AI;0001;;;
GY;NAI;Annai;Annai;;---4----;AI;0001;;;
GY;BMJ;Baramita;Baramita;;---4----;AI;0001;;;
GY;GFO;Bartica;Bartica;;1--4----;AI;9506;;;
GY;BCG;Bemichi;Bemichi;;---4----;AI;0001;;;
GY;EKE;Ekereku;Ekereku;;---4----;AI;0001;;;
GY;EVR;Everton;Everton;;1-3--6--;RQ;0701;;0655N 05820W;
GY;GEO;Georgetown;Georgetown;;1--45---;AI;9601;;;
GY;IMB;Imbaimadai;Imbaimadai;;---4----;AI;0001;;;
GY;KAI;Kaieteur;Kaieteur;;---4----;AI;0001;;;
GY;KAR;Kamarang;Kamarang;;---4----;AI;0001;;;
GY;KRM;Karanambo;Karanambo;;---4----;AI;0001;;;
GY;KRG;Karasabai;Karasabai;;---4----;AI;0001;;;
GY;KTO;Kato;Kato;;---4----;AI;0001;;;
GY;KKG;Konawaruk;Konawaruk;;---4----;AI;0001;;;
GY;KPG;Kurupung;Kurupung;;---4----;AI;0001;;;
GY;LTM;Lethem;Lethem;;---4----;AI;0001;;;
GY;LDN;Linden;Linden;;1-------;RL;0101;;0600N 05817W;
GY;LUB;Lumid Pau;Lumid Pau;;---4----;AI;0001;;;
GY;USI;Mabaruma;Mabaruma;;---4----;AI;0001;;;
GY;MKZ;Mackenzie;Mackenzie;;-23--6--;RL;0607;;0600N 05817W;
GY;MHA;Mahdia;Mahdia;;---4----;AI;0001;;;
GY;VEG;Maikwak;Maikwak;;---4----;AI;0001;;;
GY;MWJ;Matthews Ridge;Matthews Ridge;;---4----;AI;0001;;;
GY;MYM;Monkey Mountain;Monkey Mountain;;---4----;AI;0001;;;
GY;NAM;New Amsterdam;New Amsterdam;;1--4----;AI;0001;QSX;;
GY;OGL;Ogle;Ogle;;---4----;AI;0001;;;
GY;ORJ;Orinduik;Orinduik;;---4----;AI;0001;;;
GY;PMT;Paramakotoi;Paramakotoi;;---4----;AI;0001;;;
GY;PRR;Paruima;Paruima;;---4----;AI;0001;;;
GY;PIQ;Pipillipai;Pipillipai;;---4----;AI;0001;;;
GY;PKM;Port Kaituma;Port Kaituma;;---4----;AI;0001;;;
GY;SDC;Sandcreek;Sandcreek;;---4----;AI;0001;;;
GY;SKM;Skeldon;Skeldon;;---4----;AI;0001;;;
GY;THI;Thimery;Thimery;;----5---;AI;9805;;;
