TN;;.TUNISIA;;;;;;;;
TN;HMM;Al Hammamat;Al Hammamat;;123--6--;RL;0601;;3624N 01037E;
TN;AQY;Al Qasrayn;Al Qasrayn;;-23-----;RL;0607;;3510N 00850E;
TN;AQR;Al Qayrawan;Al Qayrawan;;--3-----;RQ;0607;;3540N 01005E;
TN;ASH;Ashtart Terminal;Ashtart Terminal;;1-------;RQ;9506;;;
TN;BEJ;Béja;Beja;;-23-----;RL;0212;;3644N 00911E;
TN;BGA;Ben Gardane;Ben Gardane;;--3-----;QQ;8103;;;
TN;BNA;Bin Arous;Bin Arous;;--3-----;RQ;0607;;3645N 01019E;
TN;BIZ;Bizerte;Bizerte;;1234----;QQ;8103;;;
TN;BEB;Borj el Bey;Borj el Bey;;--3-----;RL;0407;;3602N 01018E;
TN;CHB;Chebba;Chebba;;1-3-----;RL;0401;;3514N 01106E;
TN;DJE;Djerba;Djerba;;1-34----;AI;9601;;;
TN;EBM;El Borma;El Borma;;---4----;AI;0001;;;
TN;EFA;Enfida;Enfida;;--3-----;RL;0401;;3608N 01022E;
TN;EZA;Ez Zahra;Ez Zahra;;--3-----;RL;0212;;3645N 01019E;
TN;GAE;Gabès;Gabes;;1--4----;AI;0212;;3353N 01007E;
TN;GAF;Gafsa;Gafsa;;---4----;AI;0001;;;
TN;GML;Grombalia;Grombalia;;-23-----;RL;0701;;3636N 01030E;
TN;JEM;Jammal;Jammal;;--3-----;RL;0201;;3538N 01045E;
TN;JAR;Jarjis;Jarjis;;1-------;RL;0106;;3330N 01106W;Also called Zarzis
TN;JUL;Jundubah;Jundubah;;--3-----;RQ;0607;;3630N 00846E;
TN;QKN;Kairouan;Kairouan;;---4----;AI;0001;;;
TN;KKE;Kalaa Kebira;Kalaa Kebira;;-23-----;QQ;8103;;;
TN;KER;Kerkena;Kerkena;;--3-----;QQ;8103;;;
TN;KOR;Korba;Korba;;--3-----;QQ;8103;;;
TN;KEM;Ksibet el Médiouni;Ksibet el Mediouni;;1-------;RL;0701;;3540N 01050E;
TN;LGN;La Goulette Nord (Halqueloued);La Goulette Nord (Halqueloued);;123-----;QQ;8103;;;
TN;MOH;La Mohammedia;La Mohammedia;;--3-----;RL;0701;;3640N 01009E;
TN;LSK;La Skhirra;La Skhirra;;123-----;QQ;8103;;;
TN;MDN;Madanin;Madanin;;--3-----;RQ;0607;;3321N 01029E;
TN;MAD;Mahdia;Mahdia;;123-----;RL;0401;;3530N 01103E;
TN;MAH;Mahires;Mahires;;-23-----;RL;0212;;3432N 01030E;
TN;MAT;Mateur;Mateur;;-23-----;QQ;8103;;;
TN;MEG;Mégrine-Lescure;Megrine-Lescure;;--3-----;RL;0701;;3646N 01012E;@Sta
TN;MBA;Menzel Bourguiba;Menzel Bourguiba;;123-----;QQ;8103;;;
TN;MTE;Menzel Temime;Menzel Temime;;--3-----;QQ;8103;;;
TN;MOK;Moknine;Moknine;;--3-----;QQ;8103;;;
TN;MIR;Monastir;Monastir;;--345---;AI;9601;;;
TN;NAB;Nabeul;Nabeul;;-23-----;QQ;8103;;;
TN;KEL;Qulaybiyah;Qulaybiyah;;--3-----;RL;0212;;3651N 01106E;
TN;RDS;Rades/Tunis;Rades/Tunis;;1-------;RQ;9506;;;
TN;SFA;Sfax;Sfax;;1234----;AI;9601;;;
TN;SBZ;Sidi Bu Zayd;Sidi Bu Zayd;;--3-----;RQ;0607;;3502N 00929E;
TN;SUS;Sousse;Sousse;;1234----;QQ;8103;;;
TN;TBJ;Tabarka;Tabarka;;-234----;AI;9601;;;
TN;TAT;Tazerka Terminal;Tazerka Terminal;;1-------;RQ;0307;;3636N 01141E;
TN;TOE;Tozeur;Tozeur;;---4----;AI;0001;;;
TN;TUN;Tunis;Tunis;;12345---;AI;9601;;;
TN;ZRZ;Zarzis;Zarzis;;1-3-----;RL;0701;;3330N 01107E;
