OM;;.OMAN;;;;;;;;
OM;RMB;Buraimi;Buraimi;;---4----;AI;0001;;;
OM;BYB;Dibaa;Dibaa;;---4----;AI;0001;;;
OM;FAH;Fahal;Fahal;;1-------;RL;0212;;2341N 05830E;
OM;KHS;Khasab;Khasab;;---4----;AI;0001;;;
OM;OMM;Marmul;Marmul;;---4----;AI;0001;;;
OM;MSH;Masirah;Masirah;;---4----;AI;0212;;2025N 05850E;
OM;MFH;Mina' al Fahl;Mina' al Fahl;;1-------;RL;0212;;2338N 05831E;
OM;MNQ;Mina' Qabus;Mina' Qabus;;--3-----;RL;0212;;2337N 05834E;
OM;STQ;Mina Sultan Qaboos; Muscat;Mina Sultan Qaboos; Muscat;;1-3-----;RL;0607;;2337N 05833E;
OM;MCT;Muscat;Muscat;;1--45---;AI;9601;;;
OM;MUT;Muthra;Muthra;;1-------;QQ;8103;;;
OM;OPQ;Port Qaboos;Port Qaboos;;1-------;QQ;8103;;;
OM;SUL;Port Sultan;Port Sultan;;1-------;RQ;0212;;2337N 05838E;
OM;QAL;Qalhat;Qalhat;;1-3-----;RL;0307;;2242N 05922E;
OM;RAY;Raysut;Raysut;;1-------;QQ;8103;;;
OM;RUS;Rusail;Rusail;;--3-----;RL;0701;;2332N 05811E;
OM;RWI;Ruwi;Ruwi;;0-------;RQ;9307;;;
OM;SLL;Salalah;Salalah;;1--4----;AI;9601;;;
OM;SEE;Seeb;Seeb;;--3-----;RL;0201;;2335N 05817E;
OM;SOH;Sohar;Sohar;;1-------;QQ;8103;;;
OM;SUH;Sur;Sur;;---4----;AI;0001;;;
OM;TTH;Thumrait;Thumrait;;--34----;RQ;9506;;;
