BR;AC;Acre;State
BR;AL;Alagoas;State
BR;AM;Amazonas;State
BR;AP;Amapá;State
BR;BA;Bahia;State
BR;CE;Ceará;State
BR;DF;Distrito Federal;Federal district
BR;ES;Espírito Santo;State
BR;GO;Goiás;State
BR;MA;Maranhão;State
BR;MG;Minas Gerais;State
BR;MS;Mato Grosso do Sul;State
BR;MT;Mato Grosso;State
BR;PA;Pará;State
BR;PB;Paraíba;State
BR;PE;Pernambuco;State
BR;PI;Piauí;State
BR;PR;Paraná;State
BR;RJ;Rio de Janeiro;State
BR;RN;Rio Grande do Norte;State
BR;RO;Rondônia;State
BR;RR;Roraima;State
BR;RS;Rio Grande do Sul;State
BR;SC;Santa Catarina;State
BR;SE;Sergipe;State
BR;SP;São Paulo;State
BR;TO;Tocantins;State
