BE;BRU;Bruxelles-Capitale; Région de (fr); Brussels Hoofdstedelijk Gewest (nl);Region
BE;VAN;Antwerpen   (VLG);Province
BE;VBR;Vlaams Brabant (VLG);Province
BE;VLG;Vlaamse Gewest (nl);Region
BE;VLI;Limburg (VLG);Province
BE;VOV;Oost-Vlaanderen (VLG);Province
BE;VWV;West-Vlaanderen (VLG);Province
BE;WAL;Wallonne; Région (fr);Region
BE;WBR;Brabant Wallon (WAL);Province
BE;WHT;Hainaut (WAL);Province
BE;WLG;Liège (WAL);Province
BE;WLX;Luxembourg (WAL);Province
BE;WNA;Namur (WAL);Province
